brand,model,year,mileage,fuel,gearbox,vehicle_condition,car_body,horsepower,engine_size,number_of_owners,accident_history,import_or_local,location,color,air_conditioning,parking_sensor,rear_camera,sunroof,alloy_wheels,bluetooth,gps,price
Fiat,Tipo,2012,101555,Essence,Automatique,tres bon etat,monospace,133,1.4,2,0,local,Bizerte,gris,0,0,1,1,0,0,0,3613
Nissan,X-Trail,2024,6799,Essence,Automatique,bon etat,monospace,102,1.2,1,0,local,Ariana,argent,0,1,0,1,0,0,0,27739
Mitsubishi,Outlander,2007,224747,Essence,Manuelle,excellent,monospace,107,1.4,2,0,imported,Kairouan,rouge,1,0,0,1,1,0,1,2000
Renault,Kangoo,2018,159329,Essence,Manuelle,tres bon etat,citadine,64,1.1,1,0,local,Nabeul,argent,1,0,1,0,1,1,1,10783
Kia,Rio,2024,9958,Hybride,Manuelle,bon etat,break,107,1.1,3,0,local,Sousse,beige,1,0,1,0,0,0,0,23014
Renault,Captur,2015,75330,Diesel,Manuelle,bon etat,berline,168,1.8,2,0,local,Ariana,rouge,0,0,0,0,0,0,0,6188
Mercedes,E200,2022,9626,Essence,Automatique,tres bon etat,SUV,156,1.5,2,0,local,Sfax,vert,0,0,0,1,0,1,1,57553
Toyota,Avensis,2019,36098,Essence,Manuelle,bon etat,monospace,131,1.7,3,0,local,Gafsa,beige,0,1,0,1,1,0,0,15449
Suzuki,Vitara,2022,45002,Diesel,Automatique,bon etat,break,149,1.9,1,0,imported,Sousse,blanc,1,0,0,1,0,0,0,15791
Fiat,Tipo,2020,65920,Diesel,Manuelle,bon etat,citadine,83,1.2,2,0,local,Bizerte,beige,0,1,1,1,0,0,0,10755
Suzuki,Vitara,2019,84541,Diesel,Manuelle,a reparer,monospace,100,1.2,1,0,local,Bizerte,noir,0,0,0,1,1,1,1,6862
Dacia,Logan,2017,90657,Diesel,Manuelle,bon etat,SUV,152,1.3,2,0,imported,Gafsa,bleu,0,1,0,0,1,0,1,7020
BMW,116i,2015,101348,Essence,Automatique,tres bon etat,compacte,93,1.0,1,0,imported,Sousse,vert,0,0,1,0,0,0,0,24031
Nissan,X-Trail,2012,141790,Hybride,Automatique,bon etat,citadine,85,1.1,1,0,imported,Tunis,bleu,0,1,0,0,0,0,0,4111
Mitsubishi,Lancer,2007,390241,Diesel,Manuelle,bon etat,monospace,131,1.7,1,0,local,Kairouan,gris,1,1,0,1,1,0,1,2000
Renault,Clio,2014,123747,Essence,Manuelle,bon etat,citadine,86,1.0,2,1,imported,Kairouan,blanc,0,0,0,1,0,0,0,3539
Renault,Kangoo,2015,148415,Hybride,Automatique,moyen,citadine,64,0.9,2,0,local,Tunis,argent,1,1,0,1,1,0,0,6761
Chery,Arrizo,2011,224507,Essence,Manuelle,moyen,citadine,84,1.2,1,1,local,Gafsa,gris,1,1,0,0,1,1,0,2000
Ford,Fiesta,2015,190564,Essence,Manuelle,excellent,SUV,176,2.0,1,0,imported,Ben Arous,gris,1,1,0,0,1,1,1,5663
Audi,A6,2022,80248,Essence,Manuelle,bon etat,break,137,2.0,1,0,local,Gafsa,noir,1,0,1,1,0,0,0,48484
Mercedes,E200,2014,85543,Essence,Automatique,moyen,monospace,154,2.0,2,1,local,Nabeul,argent,0,1,1,0,0,0,0,13840
Hyundai,Accent,2019,94240,Essence,Manuelle,tres bon etat,break,116,1.7,3,0,local,Nabeul,rouge,0,0,0,1,1,1,0,11878
Fiat,500,2019,111056,Essence,Manuelle,moyen,berline,114,1.5,3,0,local,Bizerte,vert,0,1,0,1,1,0,1,8394
Renault,Symbol,2020,110916,Essence,Manuelle,bon etat,compacte,96,1.4,2,0,imported,Tunis,blanc,0,1,1,1,1,0,1,14909
Peugeot,206,2014,86940,Diesel,Manuelle,a reparer,citadine,79,0.9,1,0,local,Bizerte,blanc,0,1,0,0,1,0,0,4289
Nissan,X-Trail,2022,28324,Essence,Manuelle,bon etat,berline,175,2.2,2,0,local,Tunis,gris,0,1,0,1,0,0,1,19448
Fiat,Punto,2019,49297,Diesel,Automatique,bon etat,berline,164,2.0,1,0,imported,Tunis,bleu,1,0,0,0,1,1,0,8565
Fiat,Punto,2024,19627,Essence,Automatique,bon etat,citadine,77,1.0,3,0,local,Kairouan,noir,0,0,1,0,0,0,0,16505
Dacia,Sandero,2022,8249,Hybride,Automatique,bon etat,citadine,82,1.1,2,0,local,Ben Arous,beige,0,0,1,1,0,1,0,15605
Dacia,Duster,2023,21947,Diesel,Manuelle,tres bon etat,SUV,189,2.2,1,0,local,Gafsa,noir,1,0,1,1,1,1,0,18118
Audi,A6,2011,135469,Diesel,Manuelle,bon etat,SUV,147,2.0,1,1,local,Sfax,noir,1,0,0,0,0,0,1,8905
Ford,Focus,2014,230741,Diesel,Manuelle,excellent,monospace,121,1.3,3,1,imported,Bizerte,gris,0,1,0,1,0,1,0,2000
Fiat,Punto,2017,90993,Diesel,Automatique,bon etat,SUV,131,1.6,1,1,local,Ariana,bleu,0,0,0,0,0,0,1,4671
Dacia,Logan,2019,87849,Essence,Automatique,tres bon etat,monospace,120,1.7,1,0,imported,Nabeul,rouge,1,0,0,1,1,0,0,10057
Opel,Corsa,2022,26592,Diesel,Manuelle,tres bon etat,citadine,63,0.9,1,0,imported,Bizerte,gris,1,1,0,1,0,0,0,16674
Ford,Kuga,2024,19402,Diesel,Manuelle,excellent,berline,133,1.6,1,0,imported,Gabes,vert,0,1,0,1,0,0,1,27395
Renault,Captur,2019,93175,Hybride,Manuelle,moyen,break,132,1.9,1,1,local,Sousse,vert,0,0,0,0,1,1,0,8293
Mitsubishi,Outlander,2008,225461,Essence,Manuelle,bon etat,monospace,157,2.6,1,0,local,Gafsa,bleu,0,0,0,0,0,0,1,2000
Hyundai,Elantra,2007,179573,Diesel,Manuelle,excellent,break,132,1.6,1,0,local,Sousse,bleu,0,1,1,1,1,0,1,2000
Toyota,Avensis,2020,35882,Hybride,Manuelle,bon etat,compacte,117,1.4,2,0,local,Nabeul,argent,1,0,0,1,1,0,1,19379
Mercedes,C200,2010,421034,Essence,Automatique,excellent,berline,176,1.9,1,0,local,Sfax,rouge,1,1,0,0,0,0,0,4088
Chery,Arrizo,2022,65501,Diesel,Automatique,excellent,berline,170,2.1,1,0,imported,Sfax,gris,0,0,0,1,0,1,0,16014
Ford,Focus,2010,290514,Essence,Manuelle,tres bon etat,monospace,146,1.8,1,0,local,Sfax,rouge,1,0,0,0,1,0,1,2000
Audi,Q3,2018,173900,Essence,Automatique,tres bon etat,berline,117,1.1,3,0,local,Bizerte,vert,1,0,0,0,0,0,0,27719
Peugeot,2008,2022,58961,Essence,Automatique,a reparer,monospace,114,1.3,2,1,imported,Bizerte,noir,0,0,1,0,1,0,0,8498
Kia,Cerato,2016,172262,Essence,Manuelle,excellent,berline,155,1.8,1,0,local,Sousse,bleu,0,0,0,0,1,0,1,5989
BMW,X1,2015,102414,Diesel,Manuelle,bon etat,monospace,107,1.3,1,0,local,Nabeul,blanc,0,1,0,0,0,1,0,20098
Chery,Arrizo,2015,148382,Essence,Manuelle,moyen,break,115,1.5,4,0,local,Ariana,blanc,0,0,0,0,1,0,1,3347
Opel,Insignia,2024,8877,Essence,Manuelle,excellent,berline,132,1.8,1,0,local,Gabes,blanc,0,1,0,1,1,1,0,23969
Dacia,Duster,2016,120554,Essence,Manuelle,excellent,break,139,1.9,2,1,local,Sousse,beige,1,0,1,0,0,0,1,4959
Volkswagen,Golf 4,2009,260357,Essence,Manuelle,tres bon etat,SUV,203,2.5,1,0,local,Tunis,vert,0,0,1,0,1,1,0,2000
Suzuki,Swift,2024,12227,Essence,Automatique,bon etat,break,112,1.5,3,0,imported,Nabeul,rouge,0,0,1,1,0,1,1,22028
Mercedes,GLA,2022,56111,Hybride,Automatique,tres bon etat,monospace,156,2.0,2,0,local,Nabeul,noir,0,0,1,0,0,0,0,63565
Mercedes,C200,2015,221702,Diesel,Manuelle,bon etat,berline,179,2.0,2,0,local,Gafsa,blanc,0,0,0,0,1,1,0,17414
Kia,Cerato,2013,240092,Diesel,Manuelle,tres bon etat,monospace,140,1.6,1,0,local,Bizerte,rouge,0,0,0,0,1,0,1,2000
Fiat,Punto,2007,149668,Diesel,Manuelle,tres bon etat,citadine,68,1.1,1,1,local,Tunis,blanc,0,0,0,0,0,0,0,2000
BMW,320i,2009,176229,Diesel,Manuelle,a reparer,break,141,1.9,1,0,local,Ariana,bleu,1,0,0,1,0,1,0,5312
Peugeot,2008,2011,293877,Diesel,Manuelle,bon etat,monospace,113,1.6,2,0,local,Kairouan,argent,1,0,0,0,0,0,1,2000
Volkswagen,Golf 4,2020,91847,Essence,Manuelle,bon etat,SUV,138,1.9,1,0,local,Kairouan,rouge,0,1,0,1,0,0,0,16422
Fiat,Tipo,2011,179876,Essence,Automatique,tres bon etat,break,114,1.4,1,0,local,Gabes,blanc,1,0,1,1,0,1,0,2000
Opel,Corsa,2005,332581,Diesel,Manuelle,bon etat,break,111,1.3,1,0,local,Bizerte,blanc,1,1,0,0,1,1,0,2000
Suzuki,Swift,2019,53678,Essence,Automatique,moyen,monospace,159,1.9,2,0,local,Sousse,noir,0,0,0,0,1,1,0,9392
Mercedes,E200,2019,62900,Essence,Manuelle,bon etat,break,152,2.2,3,0,imported,Gafsa,noir,1,1,1,0,1,1,1,38273
Kia,Rio,2010,305133,Essence,Manuelle,bon etat,citadine,77,1.0,1,0,local,Sfax,gris,1,0,0,0,1,1,0,2000
Fiat,500,2018,131575,Essence,Manuelle,moyen,SUV,131,1.5,1,1,imported,Sousse,bleu,0,0,0,0,0,0,1,3803
Ford,Fiesta,2022,54055,Essence,Automatique,bon etat,break,145,1.8,1,1,imported,Sfax,gris,1,0,1,0,0,0,1,15008
Dacia,Duster,2011,285953,Essence,Automatique,bon etat,monospace,118,1.3,1,0,local,Nabeul,rouge,0,0,0,0,0,0,0,2000
Peugeot,308,2007,145566,Essence,Manuelle,tres bon etat,break,129,1.7,2,0,local,Kairouan,vert,0,0,0,0,0,0,1,2000
Kia,Sportage,2008,248032,Essence,Manuelle,tres bon etat,SUV,201,2.6,1,0,local,Bizerte,argent,1,0,1,1,0,0,1,2000
Peugeot,3008,2019,88282,Essence,Manuelle,excellent,break,100,1.2,1,0,local,Nabeul,bleu,1,0,0,0,1,0,1,17685
Ford,Fiesta,2021,88649,Essence,Manuelle,tres bon etat,break,145,1.5,2,0,imported,Ariana,rouge,1,0,0,1,1,0,1,15920
Fiat,Punto,2006,177998,Diesel,Automatique,bon etat,berline,137,1.9,2,0,imported,Sousse,blanc,1,0,0,1,1,1,0,2000
Audi,A3,2022,56840,Diesel,Manuelle,a reparer,berline,128,1.9,2,0,local,Ben Arous,noir,0,0,0,0,0,0,1,22120
Ford,Focus,2021,84903,Diesel,Manuelle,tres bon etat,berline,130,1.5,2,1,imported,Bizerte,noir,0,1,0,0,0,1,0,12345
Opel,Corsa,2012,279146,Diesel,Automatique,bon etat,monospace,106,1.5,1,0,local,Sousse,bleu,0,0,0,0,0,1,0,2000
Volkswagen,Golf 5,2009,186276,Essence,Manuelle,tres bon etat,monospace,107,1.5,3,0,local,Nabeul,bleu,0,0,1,1,0,1,0,2049
Audi,A3,2017,61973,Diesel,Manuelle,bon etat,citadine,73,0.9,3,0,imported,Ben Arous,rouge,0,0,0,1,0,0,0,24766
Ford,Kuga,2006,280449,Essence,Manuelle,tres bon etat,break,123,1.7,2,0,local,Kairouan,gris,0,1,0,0,1,0,1,2000
Renault,Kangoo,2015,216382,Diesel,Manuelle,a reparer,SUV,143,1.6,1,0,local,Sousse,beige,0,0,1,0,1,1,0,3035
Chery,Tiggo,2016,53833,Diesel,Manuelle,tres bon etat,SUV,128,1.7,1,0,local,Gafsa,bleu,0,1,1,1,0,0,1,10252
Volkswagen,Polo,2007,403464,Essence,Automatique,tres bon etat,berline,147,1.8,2,0,local,Tunis,bleu,1,0,1,1,1,1,0,2000
Toyota,Corolla,2017,43371,Diesel,Manuelle,bon etat,SUV,193,2.1,1,0,local,Sfax,gris,0,1,0,0,1,0,1,13437
Mitsubishi,Outlander,2016,178248,Diesel,Manuelle,bon etat,berline,112,1.1,2,0,local,Kairouan,blanc,0,1,0,0,1,0,1,5530
Volkswagen,Golf 5,2006,130245,Hybride,Automatique,bon etat,berline,147,2.2,2,0,local,Ben Arous,beige,0,1,0,0,0,1,1,2000
Fiat,500,2021,61609,Diesel,Automatique,tres bon etat,berline,134,1.8,1,0,imported,Ben Arous,gris,0,0,0,0,0,0,0,11685
Nissan,Micra,2019,66802,Essence,Manuelle,excellent,berline,154,2.0,1,0,local,Bizerte,gris,0,1,1,0,0,0,0,12202
Toyota,Rav4,2008,181087,Essence,Manuelle,bon etat,berline,167,2.2,1,0,local,Tunis,beige,0,0,1,1,0,1,0,2000
Hyundai,i10,2017,117736,Essence,Manuelle,bon etat,monospace,105,1.0,1,0,local,Gafsa,bleu,1,0,0,1,1,1,1,9373
Renault,Symbol,2023,32192,Essence,Manuelle,bon etat,citadine,80,1.0,2,0,local,Gafsa,beige,1,1,0,0,0,1,1,19790
BMW,116i,2016,138850,Essence,Automatique,bon etat,break,109,1.4,2,0,local,Tunis,beige,0,0,1,1,1,0,0,22961
Peugeot,206,2016,68693,Diesel,Automatique,excellent,compacte,107,1.1,2,0,imported,Gabes,argent,1,1,1,1,0,0,1,13349
Mercedes,C180,2024,13317,Diesel,Automatique,excellent,break,123,1.6,1,0,imported,Ariana,noir,0,1,0,1,0,0,1,84743
Chery,Arrizo,2011,168072,Diesel,Automatique,bon etat,break,111,1.5,1,0,local,Gafsa,noir,0,0,1,1,0,0,0,2000
Fiat,500,2017,110037,Essence,Manuelle,tres bon etat,monospace,137,2.0,1,0,local,Ariana,noir,0,0,1,1,1,0,0,7349
Renault,Clio,2019,72968,Essence,Manuelle,excellent,SUV,217,2.5,2,1,imported,Sousse,noir,1,1,1,0,0,0,1,10312
Chery,Arrizo,2016,168897,Essence,Manuelle,excellent,SUV,124,1.7,1,0,local,Ben Arous,vert,1,0,1,0,0,1,1,5047
Renault,Captur,2012,134927,Diesel,Manuelle,bon etat,SUV,198,2.8,1,0,local,Nabeul,blanc,0,0,1,1,0,0,0,3881
Mitsubishi,Outlander,2023,33725,Diesel,Manuelle,bon etat,break,159,1.8,1,0,imported,Gabes,beige,1,0,1,0,0,0,1,19184
Renault,Clio,2013,200606,Essence,Automatique,tres bon etat,monospace,137,1.6,1,0,local,Gafsa,beige,1,1,1,0,0,0,0,2257
Nissan,Micra,2018,88987,Essence,Automatique,excellent,break,141,1.5,1,0,imported,Sfax,beige,0,0,0,1,0,0,0,12304
Renault,Symbol,2010,291744,Essence,Manuelle,tres bon etat,SUV,148,2.0,2,0,imported,Ben Arous,beige,1,0,1,0,0,1,1,2000
Nissan,X-Trail,2005,253056,Essence,Automatique,bon etat,SUV,185,2.3,2,1,local,Kairouan,noir,0,0,0,1,0,0,1,2000
Dacia,Duster,2018,112671,Essence,Manuelle,tres bon etat,monospace,116,1.6,1,1,local,Ben Arous,blanc,1,0,1,1,0,1,0,6642
Peugeot,208,2020,65521,Diesel,Manuelle,excellent,compacte,93,0.9,4,0,local,Ben Arous,argent,0,0,0,1,0,0,0,15088
Volkswagen,Passat,2014,52016,Diesel,Automatique,tres bon etat,break,157,1.9,3,0,local,Gafsa,rouge,1,0,0,0,1,1,0,9767
Peugeot,207,2022,51643,Essence,Automatique,a reparer,berline,110,1.3,1,0,imported,Gafsa,noir,1,1,1,1,1,0,0,13294
Ford,Kuga,2012,212646,Essence,Automatique,bon etat,compacte,104,1.1,2,0,imported,Bizerte,gris,0,1,0,1,0,0,0,2000
Kia,Picanto,2013,235490,Essence,Automatique,bon etat,break,133,1.9,1,0,local,Gabes,gris,1,0,0,0,0,1,1,2000
Kia,Sportage,2023,26893,Essence,Manuelle,tres bon etat,break,145,1.6,4,1,local,Ariana,vert,1,1,1,0,0,0,0,15973
Hyundai,i20,2020,63057,Diesel,Manuelle,excellent,monospace,110,1.7,1,0,local,Bizerte,blanc,0,1,1,0,1,1,1,16919
Mitsubishi,Outlander,2021,20242,Essence,Manuelle,a reparer,berline,150,1.7,1,0,imported,Nabeul,vert,0,0,0,0,0,0,0,8157
Hyundai,i10,2022,38906,Diesel,Manuelle,bon etat,break,152,1.9,1,1,local,Gafsa,rouge,1,0,1,0,0,1,0,12153
Fiat,500,2019,87570,Essence,Automatique,tres bon etat,break,116,1.4,1,1,local,Kairouan,gris,0,0,1,0,0,0,0,7207
Opel,Astra,2021,66808,Essence,Automatique,a reparer,break,155,2.1,2,1,imported,Bizerte,beige,1,1,0,1,0,1,1,7571
Fiat,Punto,2012,199262,Essence,Manuelle,tres bon etat,monospace,112,1.4,2,1,imported,Sousse,gris,0,0,0,0,0,0,0,2000
Mercedes,GLA,2016,174917,Essence,Manuelle,moyen,compacte,92,1.5,1,0,local,Nabeul,argent,0,1,0,1,0,0,0,20200
Fiat,Punto,2011,202759,Essence,Manuelle,bon etat,monospace,116,1.6,3,0,local,Bizerte,beige,1,1,0,0,1,1,1,2000
Dacia,Sandero,2010,222857,Diesel,Automatique,tres bon etat,break,124,1.5,1,0,local,Tunis,rouge,1,1,0,0,0,0,0,2000
Opel,Insignia,2016,233621,Diesel,Automatique,bon etat,SUV,148,2.1,4,1,imported,Nabeul,rouge,0,0,1,0,0,0,0,2000
Ford,Focus,2014,254443,Diesel,Manuelle,bon etat,monospace,116,1.3,4,0,imported,Tunis,noir,1,1,1,0,0,0,0,2000
Toyota,Rav4,2012,150820,Essence,Manuelle,excellent,compacte,98,1.3,1,1,local,Ben Arous,gris,0,1,0,0,1,0,0,4244
Renault,Captur,2010,238674,Essence,Manuelle,tres bon etat,break,117,1.3,3,0,local,Tunis,bleu,0,1,1,0,1,0,1,2000
Opel,Astra,2016,90265,Essence,Manuelle,excellent,compacte,120,1.6,2,1,local,Kairouan,blanc,1,0,0,0,1,1,1,6317
Nissan,Qashqai,2015,139797,Hybride,Automatique,bon etat,SUV,139,1.6,3,0,local,Kairouan,argent,1,0,1,0,0,1,0,7670
Suzuki,Vitara,2022,29338,Essence,Automatique,bon etat,SUV,171,2.1,1,0,local,Gabes,argent,0,0,1,0,1,1,0,15601
Suzuki,Vitara,2013,118895,Essence,Manuelle,bon etat,break,126,1.3,2,0,local,Gafsa,noir,1,0,0,0,1,0,0,3706
Nissan,Micra,2023,35678,Essence,Automatique,tres bon etat,compacte,90,0.9,1,0,local,Kairouan,noir,0,1,0,0,1,0,1,21403
Audi,A3,2013,278111,Essence,Manuelle,bon etat,break,101,1.3,2,0,local,Tunis,blanc,0,1,0,0,0,0,1,10982
Toyota,Yaris,2007,40721,Diesel,Manuelle,bon etat,SUV,123,1.8,1,0,local,Ben Arous,argent,0,0,0,0,1,0,1,3987
Volkswagen,Golf 5,2014,132430,Essence,Automatique,bon etat,citadine,69,1.0,1,0,local,Kairouan,argent,0,0,0,0,0,0,1,6105
Toyota,Rav4,2006,363514,Diesel,Manuelle,bon etat,monospace,115,1.7,2,0,imported,Nabeul,beige,0,0,1,0,0,0,0,2000
Mercedes,E200,2009,148873,Diesel,Manuelle,excellent,citadine,83,0.9,2,0,local,Tunis,noir,0,0,1,1,1,0,0,12379
Ford,Fiesta,2011,110018,Diesel,Automatique,bon etat,break,140,1.8,1,0,local,Gafsa,noir,1,0,0,1,0,0,1,4078
Kia,Rio,2008,232128,Essence,Manuelle,bon etat,berline,116,1.4,2,0,imported,Ben Arous,blanc,1,1,0,1,1,0,0,2000
Kia,Picanto,2006,329758,Essence,Manuelle,excellent,monospace,116,1.3,4,0,local,Ariana,argent,0,0,0,1,1,0,1,2000
Mercedes,GLA,2015,121411,Diesel,Manuelle,moyen,SUV,143,1.9,4,0,imported,Nabeul,argent,1,0,0,0,0,1,0,17789
Peugeot,308,2024,14238,Essence,Manuelle,bon etat,citadine,78,1.3,1,1,local,Gafsa,vert,0,0,1,0,1,1,1,19705
Suzuki,Swift,2016,94538,Essence,Manuelle,tres bon etat,citadine,94,1.2,2,1,local,Ben Arous,gris,0,1,0,0,0,1,0,4862
Mitsubishi,Outlander,2014,189175,Essence,Manuelle,tres bon etat,monospace,107,1.6,1,0,local,Bizerte,gris,1,0,0,0,0,1,0,2572
Opel,Insignia,2012,95821,Essence,Manuelle,tres bon etat,citadine,77,1.1,1,0,local,Gabes,bleu,1,0,1,1,1,0,0,5896
Suzuki,Swift,2018,122320,Essence,Manuelle,excellent,compacte,91,1.2,3,0,local,Bizerte,blanc,1,0,0,0,0,0,0,7384
Renault,Megane,2019,99980,Diesel,Automatique,tres bon etat,compacte,126,1.5,1,0,local,Ben Arous,beige,1,0,0,1,0,0,0,13088
Volkswagen,Golf 4,2018,87283,Hybride,Manuelle,moyen,break,146,1.9,3,1,local,Ariana,noir,1,1,0,0,0,0,0,9740
Nissan,Micra,2007,109522,Essence,Automatique,moyen,compacte,110,1.4,1,0,imported,Sfax,blanc,0,0,1,0,0,0,0,2000
Kia,Picanto,2015,138380,Diesel,Automatique,moyen,break,108,1.0,3,0,local,Sfax,argent,0,0,1,1,1,0,0,4890
Peugeot,206,2018,61246,Essence,Automatique,tres bon etat,break,120,1.6,2,0,imported,Ariana,rouge,1,0,0,0,0,0,0,12411
Chery,Tiggo,2021,73787,Essence,Automatique,excellent,SUV,169,1.9,3,0,local,Nabeul,beige,0,1,1,1,1,0,0,15912
Nissan,Micra,2023,30724,Essence,Automatique,tres bon etat,monospace,153,2.0,2,0,local,Ariana,vert,1,1,1,0,0,1,0,20472
Kia,Rio,2016,203421,Hybride,Manuelle,tres bon etat,berline,117,1.7,3,0,local,Sousse,rouge,1,0,0,0,1,0,0,4874
Suzuki,Celerio,2018,66206,Essence,Manuelle,bon etat,citadine,70,0.9,1,0,local,Kairouan,bleu,0,0,0,0,0,0,0,7821
Nissan,Qashqai,2009,286741,Hybride,Manuelle,moyen,SUV,129,1.9,1,1,imported,Gafsa,noir,0,0,1,1,1,0,1,2000
Ford,Kuga,2005,271359,Essence,Manuelle,bon etat,citadine,62,0.9,1,0,imported,Kairouan,bleu,0,1,1,1,0,0,0,2000
Mercedes,C200,2021,75276,Essence,Manuelle,a reparer,monospace,105,1.3,1,0,local,Tunis,blanc,0,0,0,0,1,0,1,24525
Opel,Insignia,2013,147963,Diesel,Manuelle,moyen,SUV,178,2.2,1,0,local,Gafsa,gris,0,1,0,0,0,1,1,2841
Renault,Symbol,2024,3303,Essence,Manuelle,moyen,monospace,116,0.9,1,0,local,Kairouan,gris,0,0,0,0,1,1,0,19914
Kia,Rio,2016,205666,Essence,Manuelle,tres bon etat,citadine,68,0.9,1,1,local,Gafsa,bleu,1,1,1,1,1,0,0,4975
Renault,Clio,2022,50703,Diesel,Manuelle,excellent,monospace,142,2.0,1,0,imported,Bizerte,blanc,0,1,0,0,0,0,1,18777
Toyota,Corolla,2016,119822,Diesel,Automatique,excellent,compacte,89,1.1,1,0,local,Sousse,bleu,0,0,1,1,1,1,0,11742
BMW,520d,2016,100371,Diesel,Manuelle,tres bon etat,berline,151,2.1,2,0,local,Ben Arous,argent,0,1,0,0,1,1,0,24930
Ford,Kuga,2011,222691,Diesel,Manuelle,tres bon etat,berline,127,1.6,2,0,local,Gafsa,noir,0,0,0,0,0,1,0,2000
Suzuki,Celerio,2020,116321,Diesel,Automatique,bon etat,break,116,1.4,1,0,local,Ariana,beige,0,0,0,0,1,0,0,9533
Fiat,Punto,2024,15576,Diesel,Manuelle,bon etat,berline,125,1.6,3,1,local,Tunis,bleu,1,1,0,0,1,0,1,12594
Hyundai,i10,2012,258255,Essence,Manuelle,bon etat,berline,124,1.7,2,0,local,Gafsa,gris,0,1,0,0,0,0,0,2000
Opel,Corsa,2007,120011,Essence,Automatique,moyen,monospace,131,1.7,1,0,local,Bizerte,noir,1,0,1,1,1,0,1,3241
BMW,X1,2020,64181,Diesel,Manuelle,excellent,citadine,88,0.9,1,0,imported,Bizerte,noir,1,0,0,1,0,0,0,43899
BMW,320i,2020,55400,Essence,Manuelle,tres bon etat,monospace,121,1.6,1,0,local,Ariana,bleu,0,0,1,1,0,1,1,42401
Audi,Q3,2015,211812,Essence,Automatique,tres bon etat,berline,111,1.2,2,0,local,Sousse,rouge,1,1,1,1,0,0,0,20492
Volkswagen,Golf 4,2018,25865,Essence,Manuelle,moyen,berline,110,1.5,2,0,local,Gafsa,gris,0,0,0,0,0,1,0,11255
Toyota,Rav4,2012,317448,Diesel,Automatique,tres bon etat,SUV,160,1.8,1,1,imported,Gabes,gris,1,0,0,0,1,0,0,2000
Audi,A6,2022,71883,Essence,Manuelle,bon etat,monospace,125,1.4,2,0,local,Nabeul,beige,1,1,1,0,0,1,1,45225
Toyota,Hiace,2016,113010,Essence,Manuelle,tres bon etat,berline,180,2.4,3,0,local,Tunis,gris,1,1,1,0,0,1,0,9577
Dacia,Duster,2016,91142,Diesel,Manuelle,bon etat,compacte,114,1.7,1,0,local,Bizerte,beige,0,1,1,0,1,0,0,7311
Toyota,Rav4,2018,75563,Essence,Manuelle,bon etat,break,102,1.4,2,0,local,Tunis,rouge,1,1,1,1,1,0,0,14211
Renault,Captur,2017,161416,Essence,Manuelle,tres bon etat,compacte,114,1.2,2,0,local,Sfax,blanc,0,0,0,1,0,0,0,7122
Hyundai,i20,2007,230551,Diesel,Automatique,excellent,monospace,152,1.7,2,0,imported,Sfax,noir,0,0,1,0,0,1,0,2000
Dacia,Logan,2024,12050,Essence,Manuelle,bon etat,break,138,1.9,3,0,local,Ben Arous,vert,0,0,1,1,0,0,0,15193
Ford,Fiesta,2016,120831,Essence,Manuelle,a reparer,berline,146,2.1,1,0,local,Sfax,bleu,1,1,1,0,0,0,1,5358
Dacia,Duster,2008,261418,Hybride,Automatique,tres bon etat,citadine,70,1.1,2,0,local,Ben Arous,argent,0,0,1,0,0,1,1,2000
Opel,Corsa,2009,276686,Diesel,Manuelle,excellent,compacte,112,1.4,3,1,local,Ben Arous,rouge,0,1,0,1,0,0,1,2000
Fiat,500,2024,24501,Diesel,Automatique,tres bon etat,break,114,1.6,2,0,imported,Sousse,noir,0,0,0,0,0,0,0,17333
Volkswagen,Golf 4,2023,41868,Essence,Manuelle,bon etat,citadine,72,0.9,1,1,local,Ariana,blanc,0,1,0,0,1,0,0,19167
Dacia,Logan,2021,3000,Essence,Automatique,bon etat,berline,156,2.0,2,0,imported,Kairouan,beige,0,0,0,0,1,1,0,11765
Kia,Picanto,2010,252298,Essence,Automatique,tres bon etat,SUV,139,2.0,1,0,imported,Bizerte,argent,1,1,1,0,1,1,1,2000
Hyundai,i20,2021,57804,Essence,Manuelle,excellent,berline,144,1.5,2,0,local,Gafsa,beige,0,1,0,1,0,0,1,19494
Renault,Symbol,2012,185536,Diesel,Automatique,tres bon etat,break,133,1.7,1,1,imported,Ben Arous,noir,0,1,0,1,0,1,1,2750
Ford,Focus,2019,101556,Essence,Manuelle,tres bon etat,SUV,138,1.6,3,0,local,Tunis,blanc,0,0,1,1,0,0,1,11982
Ford,Kuga,2011,248063,Diesel,Automatique,a reparer,compacte,113,1.1,1,0,imported,Ariana,blanc,0,1,0,0,1,1,1,2000
Peugeot,208,2018,109697,Diesel,Automatique,a reparer,SUV,207,2.5,2,0,local,Ben Arous,noir,0,0,1,0,1,0,0,6520
Nissan,X-Trail,2024,16954,Diesel,Manuelle,bon etat,compacte,90,1.0,2,0,local,Ariana,blanc,1,1,1,0,1,1,1,25887
Dacia,Duster,2010,91303,Essence,Manuelle,bon etat,monospace,154,1.8,1,0,local,Ariana,blanc,1,1,1,1,0,1,0,3957
Kia,Rio,2016,243582,Essence,Manuelle,bon etat,berline,166,2.2,4,0,imported,Nabeul,beige,1,0,1,1,0,0,1,4644
